#Position,fname,lname,Skin,Face,Photo,Photo Texture,Face Model Texture
,,,,,,,
Team = 49ers    Players:53,,,,,,,
TE,Eric,Johnson,Skin17,Face13,3115,26346EF2,0x159B72BA
TE,Aaron,Walker,Skin1,Face12,5273,C9D19012,682DBBE5
TE,Brian,Jennings,Skin1,Face15,2785,EE8C6073,95302A80
TE,James,Jordan,Skin4,Face2,4099,4427917A,457B656D
WR,Brandon,Lloyd,Skin6,Face6,5158,553E219E,5B5F14BD
WR,Curtis,Conway,Skin5,Face6,358,EFAA1D47,234E6809
WR,Rashaun,Woods,Skin12,Face1,6677,(no photo),5D14BD9C
WR,Cedrick,Wilson,Skin3,Face2,3238,EDF3597F,2C984FD7
WR,Arnaz,Battle,Skin4,Face1,5031,1F8260F5,5D14BD9C
WR,Derrick,Hamilton,Skin13,Face1,6428,(no photo),4E770BD4
C,Jeremy,Newberry,Skin17,17,1513,F7E7A42F,0x7B6B6702
C,Brock,Gutierrez,Skin9,Face13,367,86048214,0x159B72BA
,,,,,,,
Team = Bears    Players:53,,,,,,,
CB,Charles,Tillman,Skin6,Face10,5528,32E2BF7C,0xE0E5CB59
CB,Jerry,Azumah,Skin5,Face2,2101,5F1EF434,0x71878791
CB,R.W.,McQuarters,Skin5,Face1,1520,1482CAE5,0x4259719B
CB,Todd,McMillon,Skin3,Face4,4137,5690B7B0,0xE6B04F28
CB,Alfonso,Marshall,Skin13,Face1,6716,(no photo),0x4E770BD4
CB,Nathan,Vasher,Skin13,Face1,6638,(no photo),0x4E770BD4
DE,Alex,Brown,Skin22,Face11,3523,436CCADC,0x108E8FFF
DE,Michael,Haynes,Skin6,Face15,5113,B1FF4D2E,0xE027D00A
DE,Joe,Tafoya,Skin9,Face14,3214,C8454E37,0x39799B1C
DE,Claude,Harriott,Skin1,Face13,6433,(no photo),0x159B72BA
DT,Tommie,Harris,Skin6,Face9,6434,(no photo),0x4073FD56
DT,Bryan,Robinson,Skin21,Face12,318,7C2F2868,0x9DADC29D
DT,Terry,Johnson,Skin4,Face13,6456,(no photo),0x4BFED193
DT,Alfonso,Boone,Skin21,Face15,2644,6FCD016,0x0FBA933D
FB,Bryan,Johnson,Skin1,Face7,3346,11EF78E,0x95302A80
FB,Jason,McKie,Skin4,Face3,4758,9412A490,0x7E5F3298
FS,Mike,Brown,Skin18,Face6,2742,C71D429A,0xA6539BEB
FS,Todd,Johnson,Skin1,Face6,5140,DCADAE7D,0x39799B1C
G,Rex,Tucker,Skin9,Face15,2083,62810511,0x95302A80
G,Ruben,Brown,Skin22,Face11,197,88A1BD8E,0x1982817B
G,Mike,Gandy,Skin21,Face15,3074,C9D9F2F8,0x0FBA933D
G,Steve,Edwards,Skin22,21,4542,615523B2,0xA5B30581
G,Terrence,Metcalf,Skin6,22,3648,BF658331,0xE027D00A
RB,Thomas,Jones,Skin4,Face5,2720,8034A17A,0x8DE84690
RB,Anthony,Thomas,Skin4,Face4,3217,5F035BC3,0x66B440C9
RB,Adrian,Peterson,Skin5,Face5,3669,895E9464,0xCF53B2D9
ILB,Brian,Urlacher,Skin1,Face5,2674,BD7B0A30,0x0662B0DC
ILB,Hunter,Hillenmeyer,Skin1,Face2,5119,A2E93C92,0x7B6B6702
K,Paul,Edinger,Skin17,Face2,2671,3B1DEE57,0x137A50AA
OLB,Lance,Briggs,Skin12,Face2,5044,BFF9CFE6,0x457B656D
OLB,Joe,Odom,Skin9,Face2,5477,FE244569,0x7B6B6702
OLB,Bryan,Knight,Skin14,Face12,3628,833FEDEF,0x50025FDA
OLB,Leon,Joe,Skin11,Face2,6453,(no photo),0x2C984FD7
P,Brad,Maynard,Skin17,Face2,1129,A14C9203,0x7B6B6702
QB,Rex,Grossman,Skin17,Face3,5105,D9B88284,0xFC168EA9
QB,Jonathan,Quinn,Skin1,Face6,775,8288FB79,0x39799B1C
QB,Craig,Krenzel,Skin1,Face5,6482,(no photo),0x159B72BA
SS,Mike,Green,Skin14,Face6,2753,87C24C67,0xA5B30581
SS,Bobby,Gray,Skin5,Face6,4311,5F2354A2,0xCEBDD5A4
T,Qasim,Mitchell,Skin14,Face13,3652,(no photo),0x42A8D1EC
T,John,Tait,Skin9,Face10,1974,9567D01B,0x7B6B6702
T,Aaron,Gibson,Skin19,16,1982,AE83040B,0x0BB4D632
T,Marc,Colombo,Skin9,Face14,3546,4C13F44E,0x39799B1C
TE,Desmond,Clark,Skin22,Face5,2092,1E11E21E,0x42A8D1EC
TE,Robert,Johnson,Skin5,Face11,5138,41ADE16E,0x315951BF
WR,David,Terrell,Skin5,Face4,3216,FFD64B48,0x70DEF1C8
WR,Marty,Booker,Skin5,Face2,1940,E28E3A61,0xAC448A07
WR,Justin,Gage,Skin20,Face6,5090,25A7A952,0x688EAF51
WR,Bernard,Berrian,Skin13,Face1,6324,(no photo),0x4E770BD4
WR,Ahmad,Merritt,Skin3,Face5,3834,770C8D48,0xE3A1E743
WR,Bobby,Wade,Skin18,Face1,5272,3F892F17,0x1715F556
C,Olin,Kreutz,Skin10,Face11,301,532F6C0F,0xF6E63E2E
C,Patrick,Mannelly,Skin17,Face13,351,3B816C0F,0x159B72BA
,,,,,,,
Team = Bengals    Players:53,,,,,,,
CB,Deltha,O'Neal,Skin4,Face1,2570,71E6D0BE,0x35B5D963
CB,Tory,James,Skin4,Face7,492,5F242D48,0xE2E1A4DA
CB,Terrell,Roberts,Skin13,Face6,5495,FCF41F6B,0xCEBDD5A4
CB,Keiwan,Ratliff,Skin13,Face1,6549,(no photo),0x4E770BD4
CB,Dennis,Weathersby,Skin3,Face5,5286,F8D8480E,0xE3A1E743
DE,Duane,Clemons,Skin20,Face15,929,92C8ECA1,0xC7AC32E2
DE,Justin,Smith,Skin9,Face15,3199,90B6B5C1,0xFD49C73E
DE,Carl,Powell,Skin20,Face9,4179,A4D62352,0x5D14BD9C
DE,Robert,Geathers,Skin6,Face15,6415,(no photo),0xE027D00A
DT,Daryl,Gardener,Skin11,Face14,873,6BB87CFB,0x7BA4BFD1
DT,John,Thornton,Skin22,Face10,1995,7B58EB43,0xF61F6504
DT,Tony,Williams,Skin6,Face9,933,63A361EF,0xFECF41DB
DT,Matthias,Askew,Skin21,Face14,6313,(no photo),0xCEBDD5A4
FB,Jeremi,Johnson,Skin4,Face12,5136,1C3D2778,0xAE4EE0EE
FB,James,Lynch,Skin6,Face12,5161,5F195CC5,0x50025FDA
FS,Kim,Herring,Skin2,Face1,127,6BA5E7A2,0xE04EA1BF
FS,Kevin,Kaesviharn,Skin1,Face6,3795,A00BA493,0x39799B1C
G,Eric,Steinbach,Skin17,Face10,5251,758CF04F,0x7B6B6702
G,Bobbie,Williams,Skin5,Face10,2657,899F400B,0x630E4046
G,Victor,Leyva,Skin9,Face10,3132,E532F091,0x7B6B6702
RB,Rudi,Johnson,Skin12,Face10,3117,F4056823,0x9E51C213
RB,Chris,Perry,Skin13,Face1,6535,(no photo),0x9D0521BC
RB,Kenny,Watson,Skin13,Face7,3301,75A441B6,0x0FBA933D
ILB,Nate,Webster,Skin4,Face5,2686,EC932D52,0x4BFED193
ILB,Frank,Chamberlin,Skin1,Face2,2703,184621D3,0x7B6B6702
ILB,Caleb,Miller,Skin1,Face3,6719,(no photo),0x83110820
K,Shayne,Graham,Skin17,Face5,3878,5026F230,0x159B72BA
OLB,Kevin,Hardy,Skin19,Face5,767,96C4C2E4,0xEEECD64D
OLB,Brian,Simmons,Skin21,Face5,394,27E9C5E4,0xBB22651F
OLB,Adrian,Ross,Skin21,Face4,395,5A5767DF,0xB96BFA36
OLB,Landon,Johnson,Skin13,Face1,6458,(no photo),0x4E770BD4
P,Kyle,Richardson,Skin17,Face2,154,43FA18A5,0x7B6B6702
QB,Carson,Palmer,Skin17,Face5,5200,DA052584,0x5326B9DE
QB,Jon,Kitna,Skin17,Face5,1601,3A1D2024,0xB1511187
QB,Casey,Bramlet,Skin17,Face4,6696,(no photo),0x682DBBE5
SS,Rogers,Beckett,Skin3,Face6,2743,D36109CD,0xE6626F50
SS,Madieu,Williams,Skin13,Face6,6662,(no photo),0xCEBDD5A4
T,Levi,Jones,Skin21,Face13,3621,F194678E,0xCF53B2D9
T,Willie,Anderson,Skin21,Face13,416,B674F547,0xCF213880
T,Stacy,Andrews,Skin20,Face15,6310,(no photo),0x76EFCE7B
T,Scott,Kooistra,Skin6,Face13,5427,C023713B,0x42A8D1EC
TE,Reggie,Kelly,Skin4,Face14,2012,A7C84E5D,0x688EAF51
TE,Tony,Stewart,Skin2,Face4,3208,9D0B9B1,0x9BFAE6F4
TE,Matt,Schobel,Skin17,Face10,3697,54052EA,0x7B6B6702
TE,Brad,St. Louis,Skin1,Face13,2783,C952F8EF,0x159B72BA
WR,Peter,Warrick,Skin3,Face3,2786,AF3B2577,0x2C72FB4A
WR,Chad,Johnson,Skin5,Face2,3114,93B532A1,0x25DF3586
WR,Kelley,Washington,Skin4,Face2,5284,EED3BFE3,0x457B656D
WR,T.J.,Houshmandzadeh,Skin21,Face14,3104,B14C9DCB,0xCEBDD5A4
WR,Pat,Johnson,Skin5,Face2,176,73BD6B09,0xA7E925C7
WR,Maurice,Mann,Skin14,Face5,6715,(no photo),0x42A8D1EC
C,Rich,Braham,Skin17,Face13,385,4C5189D4,0x159B72BA
C,Larry,Moore,Skin20,Face12,695,94F15F58,0xAE4EE0EE
,,,,,,,
Team = Bills    Players:53,,,,,,,
CB,Troy,Vincent,Skin5,Face2,1272,5BD77E1D,0xED55518F
CB,Nate,Clements,Skin3,Face12,3041,4B81C56,0xA017A723
CB,Kevin,Thomas,Skin4,Face6,3726,F0F55064,0x688EAF51
CB,Terrence,McGee,Skin4,Face11,5461,959EADDF,0x7E5F3298
DE,Ryan,Denney,Skin9,Face10,3555,BFF838EC,0x7B6B6702
DE,Aaron,Schobel,Skin1,Face10,3193,B06E571F,0xE6A246B1
DE,Chris,Kelsay,Skin1,Face13,5146,E4747734,0x159B72BA
DE,Keith,McKenzie,Skin19,Face6,619,9816AFE7,0xB219B0B3
DT,Sam,Adams,Skin18,17,1583,FC86B4C6,0xA566DC4B
DT,Pat,Williams,Skin21,Face13,196,69F330B4,0x3680A089
DT,Ron,Edwards,Skin20,Face10,3062,B731C345,0x457B656D
DT,Justin,Bannan,Skin17,Face15,3511,B3C91076,0x95302A80
DT,Oliver,Gibson,Skin21,Face13,1352,823CBA11,0xCF53B2D9
DT,Tim,Anderson,Skin17,Face15,6308,(no photo),0x95302A80
FB,Daimon,Shelton,Skin21,Face15,779,C196EF59,0x0FBA933D
FB,Joe,Burns,Skin5,Face5,4467,FAE87D84,0xCF53B2D9
FS,Izell,Reese,Skin5,Face2,434,3267334D,0x630E4046
FS,Pierson,Prioleau,Skin6,Face4,2078,77268822,0x50025FDA
G,Marques,Sullivan,Skin12,Face13,3212,6F8305D9,0x4BFED193
G,Chris,Villarrial,Skin9,Face14,326,3504FDBC,0x39799B1C
G,Ross,Tucker,Skin17,Face15,3942,5599F752,0x95302A80
RB,Travis,Henry,Skin14,Face2,3096,CC69C9EE,0x03ADEDC5
RB,Willis,McGahee,Skin13,Face3,5175,A1737996,0x623F2E13
ILB,London,Fletcher,Skin5,Face3,1419,7F255468,0x26020783
ILB,Angelo,Crowell,Skin12,Face6,5061,30F30C5A,0x688EAF51
K,Rian,Lindell,Skin17,Face7,3248,C0852E88,0xC4729F4B
OLB,Jeff,Posey,Skin13,Face4,1524,DB10D3C3,0xB96BFA36
OLB,Takeo,Spikes,Skin21,Face1,392,B3C12A22,0x44E6A0C8
OLB,Josh,Stamer,Skin1,Face1,4223,C1CD301A,0x77C7CCBD
OLB,Dominique,Stevenson,Skin6,Face2,4908,EF9545BB,0xF61F6504
P,Brian,Moorman,Skin17,Face2,3427,1FE51193,0x7B6B6702
QB,Drew,Bledsoe,Skin17,Face5,1008,DCE2EAF4,0xBB9E8795
QB,J.P.,Losman,Skin1,Face1,6501,(no photo),0x77C7CCBD
QB,Travis,Brown,Skin17,Face7,3311,83C22010,0x95302A80
SS,Lawyer,Milloy,Skin4,Face5,975,461FED71,0x12A369BB
SS,Coy,Wire,Skin9,Face6,3751,2A8E4D59,0x39799B1C
T,Jonas,Jennings,Skin22,Face10,3113,1DF0E86F,0xF61F6504
T,Mike,Williams,Skin21,22,3746,931EA20,0x0FBA933D
T,Bernard,Robertson,Skin21,Face11,3187,12EADB39,0x315951BF
T,Dylan,McFarland,Skin17,Face10,6718,(no photo),0x7B6B6702
TE,Mark,Campbell,Skin17,Face13,2832,214C0A9B,0x159B72BA
TE,Ryan,Neufeld,Skin1,Face10,3371,59C1851E,0x7B6B6702
TE,Tim,Euhus,Skin9,Face13,6396,(no photo),0x159B72BA
WR,Eric,Moulds,Skin4,Face3,229,BA8732F5,0x0865E012
WR,Lee,Evans,Skin12,Face1,6397,795136D4,0XD70684C2
WR,Josh,Reed,Skin4,Face6,3685,F3AE888A,0X688EAF51
WR,Bobby,Shaw,Skin5,Face5,1385,40406F6B,0XCF53B2D9
WR,Sam,Aiken,Skin21,Face3,5016,82032591,0X315951BF
WR,Jonathan,Smith,Skin11,Face1,6728,(no photo),0X0BB4D632
WR,Antonio,Brown,Skin13,Face5,6102,49F5C286,0XCF53B2D9
C,Trey,Teague,Skin17,Face9,529,617319FE,0x77C7CCBD
C,Ben,Sobieski,Skin17,Face13,5517,F96E22BF,0X159B72BA
C,Jon,Dorenbos,Skin17,Face2,6116,7FB66018,0X7B6B6702
,,,,,,,
Team = Broncos    Players:53,,,,,,,
CB,Champ,Bailey,Skin5,Face2,1957,D3C395DF,0xA1F25021
CB,Kelly,Herndon,Skin4,Face5,4073,C00333FD,0x4BFED193
CB,Lenny,Walls,Skin4,Face4,3738,44A0E110,0xAE4EE0EE
CB,Willie,Middlebrooks,Skin4,Face14,3151,D3CE772A,0x688EAF51
CB,Jeff,Shoate,Skin13,Face7,6726,(no photo),0x0FBA933D
CB,Jeremy,Lesueur,Skin12,Face7,6494,(no photo),0x76EFCE7B
DE,Trevor,Pryce,Skin20,Face11,501,C2F5BA22,0x13A0672E
DE,Reggie,Hayward,Skin21,Face13,3092,AC53324D,0xCF53B2D9
DE,Marco,Coleman,Skin21,Face13,1466,E79F59A2,0x299BFCB4
DE,Raylee,Johnson,Skin21,Face11,1468,3839F1DC,0xE4CB94D3
DT,Mario,Fatafehi,Skin18,Face12,3064,9DD175A8,0x9BFAE6F4
DT,Darius,Holland,Skin22,Face15,560,CDB3BA31,0xE027D00A
DT,Luther,Elliss,Skin10,Face12,557,15537F93,0x3915EFB9
DT,Monsanto,Pope,Skin14,Face10,3675,78C08EA9,0xF61F6504
FB,Mike,Anderson,Skin21,Face5,2737,749A0B18,0x3127DDB0
FB,Reuben,Droughns,Skin6,Face4,2730,A4BB17BF,0x50025FDA
FS,Nick,Ferguson,Skin6,Face3,3327,81D02236,0x108E8FFF
FS,Sam,Brandon,Skin6,Face7,4290,82335791,0xE027D00A
G,Ben,Hamilton,Skin17,Face11,3087,26E741B5,0x83110820
G,Dan,Neil,Skin17,Face10,505,42AE1E9C,0x7B6B6702
G,Cooper,Carlisle,Skin9,Face13,2661,9C8B089B,0x159B72BA
RB,Garrison,Hearst,Skin14,Face1,1547,A455E095,0x6E580109
RB,Quentin,Griffin,Skin11,Face7,5100,53760985,0xA2352E09
RB,Tatum,Bell,Skin14,Face4,6321,(no photo),0x50025FDA
RB,Brandon,Miree,Skin13,Face7,6515,(no photo),0x0FBA933D
ILB,Al,Wilson,Skin6,Face9,2024,2A91103B,0x446B7A1B
ILB,Terry,Pierce,Skin5,Face4,5206,F75BD7EC,0xB96BFA36
K,Jason,Elam,Skin17,Face4,508,196B9232,0x682DBBE5
OLB,John,Mobley,Skin4,Face2,511,6476095C,0x5966F55B
OLB,D.J.,Williams,Skin13,Face1,6665,(no photo),0x4E770BD4
OLB,Jashon,Sykes,Skin13,Face5,3719,2AB3DEE8,0xCF53B2D9
OLB,Donnie,Spragan,Skin6,Face14,3390,6E660B6E,0xA5B30581
P,Micah,Knorr,Skin17,Face5,3247,F2D58BF4,0x159B72BA
QB,Jake,Plummer,Skin17,Face5,36,FC90000B,0x74612B45
QB,Danny,Kanell,Skin17,Face13,1130,(no photo),0x159B72BA
QB,Matt,Mauck,Skin1,Face3,6505,(no photo),0x83110820
SS,John,Lynch,Skin1,Face2,1624,D91AB02E,0x415506EF
SS,Kenoy,Kennedy,Skin4,Face7,2751,6F8CF43E,0x76EFCE7B
T,Matt,Lepsis,Skin17,Face10,530,7D0C35FF,0x7B6B6702
T,George,Foster,Skin21,Face10,5088,2C66E74B,0x630E4046
T,Dwayne,Carswell,Skin21,Face10,532,DDDA2B26,0xBE685ADA
T,Cornell,Green,Skin14,Face14,3846,F914E0B7,0xA5B30581
TE,Jed,Weaver,Skin1,Face13,1881,B362F2FD,0x159B72BA
TE,O.J.,Santiago,Skin4,Face12,108,41FE0C8D,0xAE4EE0EE
TE,Byron,Chamberlain,Skin14,Face11,533,779EFFD6,0x2F6C7D63
WR,Rod,Smith,Skin5,Face1,534,E391AB1C,0x38FC471C
WR,Ashley,Lelie,Skin6,Face7,3632,4F6A301C,0x798B2F51
WR,Darius,Watts,Skin13,Face2,6650,(no photo),0x630E4046
WR,Adrian,Madise,Skin3,Face6,5162,B2FDEEC5,0xB219B0B3
WR,Triandos,Luke,Skin14,Face6,6502,(no photo),0xA5B30581
C,Tom,Nalen,Skin17,Face13,484,CEED7ECC,0x159B72BA
C,Mike,Leach,Skin9,Face12,3903,D0B8F850,0x682DBBE5
C,Josh,Sewell,Skin1,Face7,6590,(no photo),0x95302A80
,,,,,,,
Team = Browns    Players:53,,,,,,,
CB,Anthony,Henry,Skin5,Face10,3095,F68300FD,
CB,Daylon,McCutcheon,Skin4,Face6,2042,47478563,0x688EAF51
CB,Roosevelt,Williams,Skin13,Face5,3748,DEFA76EB,0xCF53B2D9
CB,Michael,Lehan,Skin4,Face1,5435,6784D175,0x5D14BD9C
DE,Courtney,Brown,Skin21,Face13,2599,50838AD0,0x1636CAAC
DE,Kenard,Lang,Skin21,Face9,1747,7598D92,0x71A118A3
DE,Ebenezer,Ekuban,Skin6,Face14,1970,C39DE826,0x42D6B417
DE,Mark,Word,Skin12,Face15,4270,B27036E9,0x76EFCE7B
DE,Felipe,Claybrooks,Skin11,Face12,3868,7AFD1352,0xE6B04F28
DT,Gerard,Warren,Skin22,Face14,3227,9E2A7D4,0xD84E48CD
DT,Orpheus,Roye,Skin22,Face9,1347,5B6F63B2,0xFECF41DB
DT,Alvin,McKinley,Skin22,Face11,2636,F83334BB,0x108E8FFF
DT,Michael,Myers,Skin22,Face10,446,EF5A3C7,0xF61F6504
DT,Amon,Gordon,Skin20,Face15,6419,(no photo),0x76EFCE7B
FB,Steve,Heiden,Skin9,Face10,1867,E1097F97,0x7B6B6702
FB,Terrelle,Smith,Skin21,Face2,2650,75664BBA,0x630E4046
FS,Earl,Little,Skin20,Face2,1040,D36C130B,0x457B656D
FS,Chris,Crocker,Skin14,Face11,5356,D130348F,0x108E8FFF
G,Kelvin,Garmon,Skin19,22,1944,9E57F549,0xA2352E09
G,Chad,Beasley,Skin9,Face13,4286,31C258AA,0x159B72BA
G,Enoch,DeMar,Skin20,Face15,5067,76C4377E,0x76EFCE7B
RB,Lee,Suggs,Skin13,Face2,5256,5E7ED758,0x3948095B
RB,William,Green,Skin13,Face5,3587,8419BE6D,0xC276FC15
RB,James,Jackson,Skin13,Face5,3109,AF7C6741,0xB85B1990
RB,Joe,Echemandu,Skin13,Face7,6391,(no photo),0x0FBA933D
ILB,Andra,Davis,Skin5,Face5,3552,74596387,0xCF53B2D9
ILB,Barry,Gardner,Skin6,Face5,1986,C5112187,0x42A8D1EC
K,Phil,Dawson,Skin17,Face2,2117,BB183B2C,0x7B6B6702
OLB,Chaun,Thompson,Skin11,Face2,5526,4B3EF901,0x2C984FD7
OLB,Warrick,Holdman,Skin3,Face3,2009,17BD4E15,0xDDC525C5
OLB,Kevin,Bentley,Skin13,Face2,3515,FE85251D,0x630E4046
OLB,Ben,Taylor,Skin17,Face6,3721,38680D9A,0x39799B1C
OLB,Brant,Boyer,Skin1,Face5,769,97542B6C,0x159B72BA
P,Derrick,Frost,Skin17,Face5,6055,B84775CB,0x159B72BA
QB,Jeff,Garcia,Skin17,Face5,2114,232DA303,0x5EC9F350
QB,Kelly,Holcomb,Skin17,Face2,709,F5035129,0x7B6B6702
QB,Luke,McCown,Skin9,Face5,6506,(no photo),0x159B72BA
SS,Robert,Griffith,Skin4,Face1,920,A3806627,0x9FA11407
SS,Sean,Jones,Skin13,Face1,6461,(no photo),0x4E770BD4
T,Ross,Verba,Skin9,Face14,651,E5BBD3CB,0x39799B1C
T,Ryan,Tucker,Skin9,Face13,1413,71D142F5,0x159B72BA
T,Kirk,Chambers,Skin17,Face12,6349,(no photo),0x682DBBE5
TE,Kellen,Winslow,Skin11,Face9,6674,(no photo),0x5A7E8F22
TE,Aaron,Shea,Skin17,Face5,2646,7A1D1630,0x159B72BA
TE,Darnell,Sanders,Skin3,Face12,3696,D07B9F36,0xE6B04F28
WR,Quincy,Morgan,Skin4,Face1,3159,8E641C0C,0xEB12F187
WR,Andre',Davis,Skin21,Face2,3553,95812F27,0x630E4046
WR,Dennis,Northcutt,Skin2,Face1,2792,FF827BC9,0x4619CD9C
WR,Andre,King,Skin6,Face12,3123,D1CC3139,0x50025FDA
WR,Frisman,Jackson,Skin5,Face1,4654,A74E926C,0x4E770BD4
C,Jeff,Faine,Skin18,Face14,5080,B5DE2467,0x7F360A40
C,Melvin,Fowler,Skin13,Face11,3574,1FBD519E,0x315951BF
C,Ryan,Pontbriand,Skin17,Face7,5484,EBE28F66,0x95302A80
,,,,,,,
Team = Buccaneers    Players:53,,,,,,,
CB,Ronde,Barber,Skin4,Face3,1622,4F995B9E,0xF42ABDF3
CB,Brian,Kelly,Skin6,Face7,1627,BCF33101,0xE027D00A
CB,Mario,Edwards,Skin6,Face6,2583,F7D1FC08,0xA5B30581
CB,Corey,Ivy,Skin5,Face7,3890,E1531EF0,0x0FBA933D
CB,Tom,Knight,Skin6,Face1,5,2B9CC4FA,0xFECF41DB
DE,Greg,Spires,Skin14,Face10,985,BDC209E7,0xF61F6504
DE,Simeon,Rice,Skin13,Face15,12,3A1C46CB,0x6A4489A1
DE,Dewayne,White,Skin19,Face9,5287,359DB728,0x0BB4D632
DT,Ellis,Wyms,Skin20,Face12,3243,1B495405,0xAE4EE0EE
DT,Anthony,McFarland,Skin21,Face15,1971,FA92C493,0x1901890F
DT,Darrell,Russell,Skin22,Face9,1229,E57DCF9B,0xFECF41DB
DT,Chartric,Darby,Skin22,Face14,3769,AA51B4BA,0xA5B30581
FB,Mike,Alstott,Skin1,Face2,1660,117A4439,0x19CCE413
FB,Greg,Comella,Skin1,Face7,1136,8695D4E0,0x95302A80
FS,Dwight,Smith,Skin4,Face12,3198,AB1D9B87,0xAE4EE0EE
G,Matt,O'Dwyer,Skin9,Face10,1174,21CF95CF,0x7B6B6702
G,Matt,Stinchcomb,Skin17,Face13,1966,41320FFD,0x159B72BA
G,Kerry,Jenkins,Skin17,Face10,1203,5C100DA2,0x7B6B6702
G,Cosey,Coleman,Skin22,Face10,2652,7F199E23,0xF61F6504
G,Jeb,Terry,Skin6,Face13,6620,(no photo),0x42A8D1EC
RB,Charlie,Garner,Skin4,Face1,1312,969F132,0xD6FF8B4E
RB,Michael,Pittman,Skin11,Face6,41,15B2D925,0x171137A2
RB,Brandon,Bennett,Skin6,Face6,411,95F7A97F,0xA5B30581
RB,Jamel,White,Skin2,Face6,3303,8931928D,0xCE20862E
ILB,Shelton,Quarles,Skin4,Face6,1650,52184A34,0x688EAF51
ILB,Keith,Burns,Skin22,Face9,512,1929FBEA,0xFECF41DB
K,Martin,Gramatica,Skin17,Face4,2034,7E7A6D7D,0x6A7D2714
OLB,Ian,Gold,Skin4,Face3,2688,FDBCDB0A,0x7E5F3298
OLB,Derrick,Brooks,Skin4,Face4,1647,A52C446D,0xF6CB7C0B
OLB,Ryan,Nece,Skin3,Face10,4791,AEC5A879,0x2C984FD7
OLB,Marquis,Cooper,Skin13,Face1,6364,(no photo),0x4E770BD4
P,Josh,Bidwell,Skin17,Face5,1869,1E9B6A95,0x159B72BA
QB,Brad,Johnson,Skin17,Face5,1776,E593D7D8,0x55E47B69
QB,Brian,Griese,Skin17,Face2,520,F14B3C17,0x16191256
